source,target,weight,raw_fidelity_drop,source_ticker,target_ticker,score
0,1,0.5744425058364868,0.0,AAPL,MSFT,0.0
2,1,0.814739465713501,2.980232238769531e-07,NVDA,MSFT,0.0
3,1,0.0,0.0,JPM,MSFT,0.0
4,1,0.24236814677715302,1.7285346984863281e-06,GS,MSFT,0.0
5,1,0.0,0.0,JNJ,MSFT,0.0
6,1,0.30072352290153503,1.1682510375976562e-05,PFE,MSFT,0.0
7,1,0.2677329480648041,7.62939453125e-06,WMT,MSFT,0.0
8,1,0.0,0.0,KO,MSFT,0.0
9,1,0.0,0.0,XOM,MSFT,0.0
10,1,0.0,0.0,CVX,MSFT,0.0
11,1,0.22573824226856232,0.0,CAT,MSFT,0.0
12,1,0.0,0.0,GLD,MSFT,0.0
13,1,0.22182856500148773,0.0,TLT,MSFT,0.0
