ticker,sector,incoming_edges,outgoing_edges,incoming_avg_weight,outgoing_avg_weight,total_neighbors
AAPL,TECH,13,13,0.3176965144837535,0.3176965144837535,25
MSFT,TECH,13,13,0.3586637364757428,0.3586637364757428,25
NVDA,TECH,13,13,0.3476811372164956,0.3476811372164956,25
JPM,FIN,8,8,0.1809221016977661,0.1809221016977661,15
GS,FIN,12,12,0.4252846776610492,0.4252846776610492,23
JNJ,HLTH,12,12,0.3128939155589319,0.3128939155589319,23
PFE,HLTH,12,12,0.4251910332726794,0.4251910332726794,23
WMT,CONS,14,14,0.2663536617815447,0.2663536617815447,27
KO,CONS,12,12,0.3627246343071508,0.3627246343071508,23
XOM,ENRG,12,12,0.29785767210514885,0.29785767210514885,23
CVX,ENRG,12,12,0.2966013738947183,0.2966013738947183,23
CAT,IND,3,3,0.4396254584909984,0.4396254584909984,5
GLD,COMM,13,13,0.22831500673141714,0.22831500673141714,25
TLT,BOND,13,13,0.34448670435615253,0.34448670435615253,25
